path,match_score
positive_0022_frame00960_prob0.880_pred1.jpg,0.3576
positive_0174_frame05335_prob0.557_pred1.jpg,0.3577
positive_0180_frame02475_prob0.552_pred1.jpg,0.3583
positive_0075_frame07215_prob0.730_pred1.jpg,0.3585
positive_0160_frame01185_prob0.582_pred1.jpg,0.3605
positive_0016_frame00970_prob0.890_pred1.jpg,0.3616
positive_0002_frame07250_prob0.950_pred1.jpg,0.3642
positive_0182_frame02405_prob0.550_pred1.jpg,0.3647
positive_0192_frame04470_prob0.539_pred1.jpg,0.3677
positive_0199_frame01220_prob0.529_pred1.jpg,0.3679
positive_0115_frame06320_prob0.637_pred1.jpg,0.3680
positive_0093_frame03715_prob0.683_pred1.jpg,0.3699
positive_0197_frame01095_prob0.531_pred1.jpg,0.3704
positive_0054_frame04475_prob0.774_pred1.jpg,0.3720
positive_0121_frame06255_prob0.623_pred1.jpg,0.3722
positive_0043_frame01560_prob0.804_pred1.jpg,0.3725
positive_0096_frame03700_prob0.675_pred1.jpg,0.3729
positive_0066_frame07240_prob0.748_pred1.jpg,0.3730
positive_0031_frame00955_prob0.856_pred1.jpg,0.3760
positive_0092_frame04675_prob0.686_pred1.jpg,0.3778
positive_0098_frame01580_prob0.669_pred1.jpg,0.3779
positive_0091_frame00160_prob0.687_pred1.jpg,0.3821
positive_0145_frame02670_prob0.599_pred1.jpg,0.3825
positive_0189_frame04360_prob0.543_pred1.jpg,0.3837
positive_0131_frame03975_prob0.614_pred1.jpg,0.3847
positive_0088_frame05135_prob0.692_pred1.jpg,0.3850
positive_0188_frame02035_prob0.544_pred1.jpg,0.3863
positive_0071_frame00940_prob0.743_pred1.jpg,0.3867
positive_0100_frame01120_prob0.667_pred1.jpg,0.3869
positive_0033_frame04665_prob0.844_pred1.jpg,0.3878
positive_0099_frame05030_prob0.668_pred1.jpg,0.3890
positive_0168_frame07225_prob0.573_pred1.jpg,0.3904
positive_0113_frame05650_prob0.641_pred1.jpg,0.3959
positive_0011_frame04440_prob0.910_pred1.jpg,0.3962
positive_0143_frame02390_prob0.602_pred1.jpg,0.3969
positive_0196_frame02015_prob0.534_pred1.jpg,0.3974
positive_0144_frame02690_prob0.600_pred1.jpg,0.3976
positive_0081_frame02515_prob0.705_pred1.jpg,0.3980
positive_0157_frame07700_prob0.586_pred1.jpg,0.3982
positive_0086_frame04325_prob0.695_pred1.jpg,0.4000
positive_0042_frame02005_prob0.808_pred1.jpg,0.4005
positive_0177_frame02165_prob0.555_pred1.jpg,0.4026
positive_0056_frame06250_prob0.768_pred1.jpg,0.4028
positive_0120_frame04065_prob0.630_pred1.jpg,0.4043
positive_0076_frame04460_prob0.730_pred1.jpg,0.4053
positive_0004_frame04445_prob0.941_pred1.jpg,0.4055
positive_0108_frame06265_prob0.657_pred1.jpg,0.4103
positive_0191_frame04380_prob0.540_pred1.jpg,0.4108
positive_0053_frame07210_prob0.774_pred1.jpg,0.4141
positive_0057_frame05015_prob0.768_pred1.jpg,0.4150
positive_0049_frame07235_prob0.788_pred1.jpg,0.4203
positive_0146_frame03145_prob0.599_pred1.jpg,0.4229
positive_0154_frame05615_prob0.592_pred1.jpg,0.4232
positive_0046_frame00460_prob0.796_pred1.jpg,0.4235
positive_0074_frame00570_prob0.731_pred1.jpg,0.4239
positive_0039_frame00935_prob0.823_pred1.jpg,0.4258
positive_0068_frame04865_prob0.745_pred1.jpg,0.4259
positive_0106_frame05740_prob0.658_pred1.jpg,0.4270
positive_0001_frame04435_prob0.961_pred1.jpg,0.4317
positive_0097_frame07055_prob0.674_pred1.jpg,0.4394
positive_0032_frame02050_prob0.855_pred1.jpg,0.4473
positive_0162_frame03640_prob0.579_pred1.jpg,0.4511
positive_0007_frame03125_prob0.928_pred1.jpg,0.4556
positive_0193_frame07220_prob0.539_pred1.jpg,0.4573
positive_0073_frame05020_prob0.733_pred1.jpg,0.4594
positive_0018_frame06240_prob0.887_pred1.jpg,0.4639
positive_0047_frame04320_prob0.795_pred1.jpg,0.4690
positive_0094_frame01180_prob0.681_pred1.jpg,0.4697
positive_0070_frame07230_prob0.743_pred1.jpg,0.4772
positive_0026_frame03120_prob0.870_pred1.jpg,0.5140
